name,sku,brand,confidence,source
WERHE Profesjonalne wiertło do wiertnic ziemnych 200 mm podwójny wał wiertło do słupków wiertło do studni wytrzymała końcówka wiertnicza,1WG200d,WERHE,0.80,review
WERHE nasadka świdra ziemnego Ø 200 mm podwójna spirala,1WG200d,WERHE,0.80,review
"WERHE Świder ziemny do wiertnicy ⌀200 mm, długość 80 cm - świder do studni, świder do sadzenia drzew, świder do odwiertów, świder do pali, świder do przepustów - z ostrzami z węglików spiekanych",1WG200d,WERHE,0.70,agent
"WERHE świder ziemny 200 mm z ostrzy z węglika, do wiertarki",1WG200d,WERHE,0.75,agent
Świder do gleby 200D,1WG200d,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 200 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze,1WG200h,WERHE,0.65,agent
Świder do gleby 200H,1WG200h,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 250 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze,1WG250d,WERHE,0.80,agent
WERHE Profi Bohrer für Erdbohrer 300 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze,1WG300d,WERHE,0.80,agent
WERHE Profesjonalne wiertło do ślimaków 40 mm Wiertło ślimakowe precyzyjne wiercenie,1WG40d,WERHE,0.80,agent
WERHE Profi Bohrer für Erdbohrer 40 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG40d,WERHE,0.85,agent
"WERHE Świder ziemny o średnicy 40 mm i długości 80 cm do wiercenia – wiertło do precyzyjnego kopania słupków ogrodzeniowych, sadzenia drzew, fundamentów i przepustów- z ostrzami z węglików spiekanych",1WG40d,WERHE,0.80,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 40 mm extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG40d,WERHE,0.55,agent
Świder do gleby 40D,1WG40d,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 40 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral,1WG40dDS,WERHE,0.75,agent
WERHE Profi Bohrer für Erdbohrer 40 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral Hartmetall eco Farbe,1WG40dDS,WERHE,0.75,agent
"WERHE Zestaw świdrów ziemnych Ø40 mm, dł. 80 cm z adapterem SDS Plus – kompatybilny ze standardowymi wiertłami SDS Plus, idealny do budowy ogrodzeń i prac ogrodniczych.",1WG40x800p,WERHE,0.55,agent
"WERHE Erdbohrer für bohrmaschine ⌀50 mm, 80cm länge – Brunnenbohrer, Baumpflanzung, erdlochbohrer, Pfahlbohrer, Durchlässenbohrer – Grabungswerkzeug mit präzise Bohrspitze und Hartmetallklingen",1WG50d,WERHE,0.75,agent
"WERHE świder ziemny 50 mm, ostrza z węglika, 80 cm, do wiertarek",1WG50d,WERHE,0.70,agent
"WERHE świder ziemny do wiertnicy ⌀50 mm, długość 80 cm - świder do studni, świder do sadzenia drzew, świder do otworów ziemnych, świder do pali, świder do przepustów - narzędzie do kopania",1WG50d,WERHE,0.85,agent
Świder do gleby 50D,1WG50d,,1.00,apilo
WERHE Profesjonalna wiertarka do uziemienia 60 mm bateria precyzyjna końcówka,1WG60d,WERHE,0.75,agent
WERHE Profi Bohrer für Erdbohrer 60 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG60d,WERHE,0.85,agent
"WERHE świder ziemny Ø 60 mm, długość 80 cm, do wiertarki, węglik spiekany",1WG60d,WERHE,0.70,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 60 mm extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG60d,WERHE,0.55,agent
Świder do gleby 60D,1WG60d,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 60 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral Hartmetall eco Farbe,1WG60dDS,WERHE,0.75,agent
"Zestaw świdrów ziemnych WERHE Ø60 mm, dł. 80 cm z adapterem SDS Plus – kompatybilny ze standardowymi wiertłami SDS Plus, idealny do budowy ogrodzeń i prac ogrodniczych.",1WG60x800p,WERHE,0.55,agent
WERHE Profesjonalne wiertło do ślimaków 80 mm wiertło ślimakowe dobre wiertło precyzyjne,1WG80d,WERHE,0.80,agent
WERHE ® Profi Bohrer für Erdbohrer 80 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG80d,WERHE,0.85,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 80 mm extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG80d,WERHE,0.55,agent
Świder do gleby 80D,1WG80d,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 80 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral Hartmetall eco Farbe,1WG80dDS,WERHE,0.75,agent
"WERHE Zestaw świdrów ziemnych Ø80 mm, długość 80 cm, z adapterem SDS Plus – Wytrzymała stal z metalowymi ostrzami do budowy ogrodzeń i prac ogrodniczych – Kompatybilny ze standardowymi wiertłami",1WG80x800p,WERHE,0.55,agent
"WERHE Wiertło do lodu – Ø 200 mm – długość 80 cm – szybkie wiercenie do łowienia lodów – ostrza z twardego metalu, ochrona ostrza – lekka konstrukcja z nylonu i aluminium – uchwyt 75 cm",1WGlod200,WERHE,0.80,review
"WERHE Wiertło do lodu – 200 × 800 mm – szybkie wiercenie do wędkarstwa podlodowego – ostrza z węglików spiekanych, adapter HEX 10 mm, osłona ostrza – lekka konstrukcja z nylonu i aluminium",1WL200x800h10,WERHE,0.50,agent
"WERHE Świder glebowy do wiertarki 100 mm Ø, 250 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo100x250,WERHE,0.60,agent
"WERHE świder ziemny 100 mm Ø, 250 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo100x250,WERHE,0.60,agent
"WERHE świder ziemny 100 x 250 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo100x250,WERHE,0.60,agent
"WERHE Świder glebowy do wiertarki 100 mm Ø, 300 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo100x300,WERHE,0.85,agent
"WERHE świder ziemny 100 mm Ø, 300 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo100x300,WERHE,0.85,agent
Świder Ogrodowy 100X300,1Wo100x300,,1.00,apilo
"WERHE Świder glebowy do wiertarki 100 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo100x450,WERHE,0.90,agent
"WERHE świder ziemny 100 mm Ø, 450 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo100x450,WERHE,0.90,agent
"WERHE świder ziemny 100 x 450 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo100x450,WERHE,0.90,agent
Świder Ogrodowy 100X450,1Wo100x450,,1.00,apilo
"WERHE Świder glebowy do wiertarki 100 mm Ø, 600 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo100x600,WERHE,0.90,agent
"WERHE świder ziemny 100 mm Ø, 600 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo100x600,WERHE,0.90,agent
"WERHE świder ziemny 100 x 600 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo100x600,WERHE,0.90,agent
Świder Ogrodowy 100X600,1Wo100x600,,1.00,apilo
"WERHE Świder glebowy do wiertarki 40 mm Ø, 220 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo40x220,WERHE,0.95,agent
"WERHE świder ziemny 40 x 220 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo40x220,WERHE,0.95,agent
Świder ogrodowy 40X220,1Wo40x220,,1.00,apilo
"WERHE Świder glebowy do wiertarki 40 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo40x450,WERHE,0.95,agent
Świder Ogrodowy 40X450,1Wo40x450,,1.00,apilo
"WERHE Świder glebowy do wiertarki 46 mm Ø, 370 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo46x370,WERHE,0.90,agent
"WERHE świder ziemny 46 mm Ø, 370 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo46x370,WERHE,0.90,agent
"WERHE świder ziemny 46 x 370 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo46x370,WERHE,0.90,agent
"WERHE Świder glebowy do wiertarki 50 mm Ø, 220 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo50x220,WERHE,0.95,agent
"WERHE świder ziemny 50 x 220 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo50x220,WERHE,0.95,agent
Świder Ogrodowy 50X220,1Wo50x220,,1.00,apilo
"WERHE Świder glebowy do wiertarki 50 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo50x450,WERHE,0.95,agent
Świder Ogrodowy 50X450,1Wo50x450,,1.00,apilo
"WERHE Świder glebowy do wiertarki 60 mm Ø, 220 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo60x220,WERHE,0.90,agent
Świder Ogrodowy 60X220/ 1Wo60x220,1Wo60x220,WERHE,0.95,agent
"WERHE Świder glebowy do wiertarki 60 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo60x450,WERHE,0.95,agent
"WERHE świder ziemny 60 mm Ø, 450 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo60x450,WERHE,0.90,agent
"WERHE świder ziemny 60 x 450 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo60x450,WERHE,0.95,agent
Świder Ogrodowy 60X450,1Wo60x450,,1.00,apilo
"WERHE Świder glebowy do wiertarki 60 mm Ø, 600 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo60x600,WERHE,0.95,agent
"WERHE świder ziemny 60 mm Ø, 600 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo60x600,WERHE,0.90,agent
"WERHE świder ziemny 60 mm, długość 600 mm, do wiertarki i wkrętarki",1Wo60x600,WERHE,0.90,agent
Świder Ogrodowy 60X600,1Wo60x600,,1.00,apilo
"WERHE Świder glebowy do wiertarki 80 mm Ø, 250 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo80x250,WERHE,0.90,agent
"WERHE świder ziemny 80 mm Ø, 250 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo80x250,WERHE,0.90,agent
"WERHE Świder glebowy do wiertarki 80 mm Ø, 300 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo80x300,WERHE,0.90,agent
"WERHE świder ziemny 80 mm Ø, 300 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo80x300,WERHE,0.90,agent
"WERHE Świder glebowy do wiertarki 80 mm Ø, 350 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo80x350,WERHE,0.95,agent
Świder Ogrodowy 80X350,1Wo80x350,,1.00,apilo
"WERHE Świder glebowy do wiertarki 80 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo80x450,WERHE,0.90,agent
"WERHE świder ziemny 80 mm Ø, 450 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo80x450,WERHE,0.90,agent
"WERHE świder ziemny 80 x 450 mm do wkrętarki i wiertarki, świder ogrodowy",1Wo80x450,WERHE,0.90,agent
"WERHE Świder glebowy do wiertarki 80 mm Ø, 600 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",1Wo80x600,WERHE,0.90,agent
"WERHE świder ziemny 80 mm Ø, 600 mm długości do wiertarki i wkrętarki akumulatorowej – świder ogrodowy do łatwego sadzenia kwiatów, krzewów i wykonywania otworów pod słupki ogrodzeniowe",1Wo80x600,WERHE,0.90,agent
Świder Ogrodowy 80X600,1Wo80x600,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 100 mm Florbohrer Brunnenbohrer robuste Bohrspitze passend für Makita/Hitachi Bohrer,1ZWG100dMakita,WERHE,0.55,agent
"WERHE Bohrer für Erdbohrer 100 mm passend für Stihl BT 106 C, BT 120 C, BT 121, BT 130, BT 131 präzise Bohrspitze Pfahlbohrer",1ZWG100dStihl,WERHE,0.55,agent
WERHE Erdbohrer mit SDS Max Aufnahme 100 mm robuste Bohrspitze Pfahlbohrer Bohrer 100 mm,1ZWG100dm,WERHE,0.85,agent
WERHE Wiertarka ziemna z uchwytem SDS Max 100 mm wiertło wiertło runo 100 mm,1ZWG100dm,WERHE,0.90,review
"WERHE świder ziemny z SDS Max uchwyt, Ø 100 mm, długość 81 cm",1ZWG100dm,WERHE,0.50,agent
"Wiertarka WERHE z uchwytem SDS Max, wytrzymała wiertarka 100 mm, wiertło 100 mm",1ZWG100dm,WERHE,0.80,review
Świder do Gleby 100D SDS MAX,1ZWG100dm,,1.00,apilo
WERHE Erdbohrer 100 mm mit SDS Plus Aufnahme robuste Bohrspitze Pfahlbohrer Bohrer,1ZWG100dp,WERHE,0.85,agent
WERHE Erdbohrer 100 mm z SDS Plus rejestrującym solidne wiertła wiertnicze,1ZWG100dp,WERHE,0.80,agent
WERHE Wiertło wiertnicze 100 mm z wiertłem SDS Plus,1ZWG100dp,WERHE,0.90,review
"WERHE świder ziemny 100 mm, SDS Plus uchwyt, wytrzymały grot do gruntu",1ZWG100dp,WERHE,0.70,agent
Świder do Gleby 100D SDS PLUS,1ZWG100dp,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 100 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral Hartmetall eco Farbe mit Hex Adapter,1ZWG100hHex,WERHE,0.55,agent
"WERHE® Profi Bohrer, Erdbohrer für bohrmaschine 100 mm DoppelWelle robust mit m14 Adapter - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1ZWG100hM14,WERHE,0.55,agent
WERHE Profi Bohrer für Erdbohrer 100 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze passend für Makita/Hitachi-Bohrer,1ZWG100hMakita,WERHE,0.50,agent
"WERHE Profi Bohrer für Erdbohrer 100 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze passend für Stihl BT 106 C, BT 120 C, BT 121, BT 130, BT 131",1ZWG100hStihl,WERHE,0.50,agent
"WERHE Profi Bohrer für Erdbohrer 100 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze passend für Stihl BT 106 C, BT 120 C, BT 121, BT 130, BT 131…",1ZWG100hStihl,WERHE,0.50,agent
WERHE Profi Bohrer für Erdbohrer 100 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze mit SDS Max Adapter,1ZWG100hm,WERHE,0.60,agent
WERHE Profi wiertło do gleby Wiertarka do podwójnego wału 100 mm Wiertarka do studni z adapterem SDS Max,1ZWG100hm,WERHE,0.60,agent
Świder do Gleby 100H SDS Max,1ZWG100hm,unknown,0.85,agent
WERHE Erdbohrer 100 mm mit SDS Plus Aufnahme robuste Bohrspitze Pfahlbohrer Bohrer Doppel-Welle,1ZWG100hp,WERHE,0.60,agent
WERHE Ślimak ziemny 100 mm z uchwytem SDS Plus Wytrzymała końcówka wiertła Wiertło palowe Wiertło dwuwałowe,1ZWG100hp,WERHE,0.60,agent
"WERHE Świder ziemny 100 mm z uchwytem SDS Plus, wytrzymała końcówka wiertła do runa wiertła wiertła wiertła z podwójnym wałem",1ZWG100hp,WERHE,0.60,agent
WERHE świder ziemny podwójna spirala Ø100mm 80cm – świder do słupków z adapterem SDS Plus – solidny i precyzyjny,1ZWG100hp,WERHE,0.60,agent
Świder do Gleby 100H SDS Plus,1ZWG100hp,unknown,0.85,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Spiral eco Farbe mit Hex Adapter,1ZWG120dHex,WERHE,0.55,agent
"WERHE® Profi Bohrer, Erdbohrer für bohrmaschine 120 mm robust mit m14 Adapter - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1ZWG120dM14,WERHE,0.55,agent
"Bohrer für Erdbohrer 120 mm passend für Stihl BT 106 C, BT 120 C, BT 121, BT 130 präzise Bohrspitze Pfahlbohrer",1ZWG120dStihl,unknown,0.50,agent
WERHE Erdbohrer mit SDS Max Aufnahme 120 mm robuste Bohrspitze Pfahlbohrer Bohrer 120mm,1ZWG120dm,WERHE,0.85,agent
WERHE Wiertło do ziemi z uchwytem SDS Max 120 mm Wytrzymała końcówka wiertła 120 mm,1ZWG120dm,WERHE,0.80,agent
Świder do Gleby 120D SDS Max,1ZWG120dm,,1.00,apilo
WERHE Earthmover 120 mm z mocowaniem SDS Plus wytrzymałe wiertło wiertło runo wiertło,1ZWG120dp,WERHE,0.80,agent
WERHE Erdbohrer 120 mm mit SDS Plus Aufnahme robuste Bohrspitze Pfahlbohrer Bohrer,1ZWG120dp,WERHE,0.85,agent
WERHE Erdbohrer 120mm mit SDS Plus Aufnahme Robuste Bohrspitze Pfahlbohrer Bohrer,1ZWG120dp,WERHE,0.85,agent
WERHE Wiertło do Gleby 120D mm z adapterem SDS PLUS do profesjonalnego wiercenia w ziemi,1ZWG120dp,WERHE,0.85,agent
Świder do Gleby 120D SDS Plus,1ZWG120dp,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 120 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral Hartmetall eco Farbe mit Hex Adapter,1ZWG120hHex,WERHE,0.55,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze passend für Makita/Hitachi-Bohrer,1ZWG120hMakita,WERHE,0.50,agent
WERHE Profesjonalne wiertło do Auger 120 mm podwójny wał wytrzymały akumulator z adapterem SDS Max,1ZWG120hm,WERHE,0.60,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze mit SDS Max Adapter,1ZWG120hm,WERHE,0.60,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze mit SDS Plus Adapter,1ZWG120hp,WERHE,0.60,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze mit SDS Plus Adapter 6,1ZWG120hp,WERHE,0.60,agent
WERHE świder ziemny podwójna spirala Ø120mm 80cm – świder do słupków z adapterem SDS Plus – solidny i precyzyjny,1ZWG120hp,WERHE,0.60,agent
WERHE świder ziemny z podwójną spiralą 120 mm 80 cm z adapter do świdra do,1ZWG120hp,WERHE,0.45,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 150 mm extrem robust mit Hex Adapter - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1ZWG150dHex,WERHE,0.55,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 150 mm Extrem robust mit m14 Adapter - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1ZWG150dM14,WERHE,0.55,agent
"Profesjonalna wiertarka WERHE®, świder do wiertarki 150 mm wytrzymały z adapterem SDS Max - wiertło do pali wiertło do wiercenia precyzyjna końcówka wiertła - wiertło do świdra do ziemi",1ZWG150dm,WERHE,0.80,agent
"Profesjonalna wiertarka WERHE®, świder do wiertarki 150 mm wytrzymały z adapterem SDS Max - wiertło do wiercenia precyzyjna końcówka wiertła - świdra do ziemi",1ZWG150dm,WERHE,0.80,agent
WERHE świder ziemny 150 mm adapter SDS Max,1ZWG150dm,WERHE,0.70,agent
WERHE świder ziemny 150 mm z ostrzami z węglika spiekanego – Wytrzymała stal do sadzenia drzew i budowy ogrodzeń – kompatybilny z SDS Max – Dla profesjonalistów i majsterkowiczów,1ZWG150dm,WERHE,0.65,agent
