name,lines,units,lines_WRO5,lines_XPO1,first_month,last_month,family,shank,L_est,fkey,skus,fc_dominant,purity,fc_last
"WERHE Świder ziemny do wiertarki z adapterem SDS Plus ⌀50 mm, długość 80 cm - świder do studni, świder do sadzenia drzew, świder do otworów ziemnych, świder do pali, świder do przepustów",32,819.0,0,32,2024-06,2026-05,auger,sds_plus,800.0,auger|d50|l800|sds_plus,,XPO1,1.0,XPO1
WERHE Wiertarka do uziemienia 40 mm z pojemnikiem SDS Plus solidna końcówka wiertła do pali wiertniczych,25,817.0,0,25,2024-07,2026-04,auger,sds_plus,800.0,auger|d40|sds_plus,,XPO1,1.0,XPO1
WERHE ® Przedłużenie wiercenia 1000 mm SDS Max do SDS Max chwyt do nagrywania adaptera,42,816.0,0,42,2024-06,2025-12,adapter,sds_max,1000.0,adapter|sds_max,,XPO1,1.0,XPO1
"WERHE® smar MOS2 100 ml – Wodoodporny, uniwersalny smar do narzędzi i łożysk",8,770.0,8,0,2026-02,2026-05,grease,,150.0,grease|d100,,WRO5,1.0,WRO5
WERHE profesjonalna wiertarka do ślimaka 150 mm Pełna Stal podwójny wałek runo dobrze wytrzymałe z adapterem SDS Plus,32,752.0,0,32,2024-07,2026-04,auger,sds_plus,800.0,auger|d150|sds_plus|dbl,,XPO1,1.0,XPO1
"WERHE ® 20,2x28x65 Profesjonalny młot udarowy z gwoździarką - gwoździarka SDS Plus",19,750.0,19,0,2024-06,2026-01,other,sds_plus,65.0,other|sds_plus,,WRO5,1.0,WRO5
"WERHE Profesjonalny adapter SDS Plus do świdrów, do wiertarki",13,745.0,13,0,2024-06,2025-11,adapter,sds_plus,150.0,adapter|sds_plus,,WRO5,1.0,WRO5
WERHE® Adapter M14 na 1/2-20UNF cala - zastosowanie we wszystkich uchwytach wiertarskich z gwintem zewnętrznym 1/2-20UNF,19,715.0,19,0,2024-06,2025-12,adapter,m14,150.0,adapter|m14|unf_1_2,,WRO5,1.0,WRO5
"Profesjonalna wiertarka WERHE®, świder do wiertarki 150 mm wytrzymały z adapterem SDS Plus - wiertło do pali wiertło do wiercenia precyzyjna końcówka wiertła - wiertło do świdra do ziemi",23,693.0,0,23,2024-10,2025-06,auger,sds_plus,800.0,auger|d150|sds_plus,,XPO1,1.0,XPO1
"WERHE Wiertło ziemne do wiertarki z adapterem SDS Plus Ø 60 mm, długość 80 cm – wiertło do studni, sadzenie drzew, wiertło do otworów, wiertło do pali, wiertło przelotowe – precyzyjna końcówka",10,650.0,0,10,2026-01,2026-04,auger,sds_plus,800.0,auger|d60|l800|sds_plus,,XPO1,1.0,XPO1
"WERHE Świder glebowy do wiertarki 60 mm Ø, 600 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",31,643.0,0,31,2024-12,2026-04,auger,,600.0,auger|d60|l600,,XPO1,1.0,XPO1
WERHE Earthmover 120 mm z mocowaniem SDS Plus wytrzymałe wiertło wiertło runo wiertło,31,639.0,0,31,2024-06,2026-04,auger,sds_plus,800.0,auger|d120|sds_plus,,XPO1,1.0,XPO1
"WERKON M14 adapter do ślimaków, M14 ADAPTER DO MIESZALNIKA, mieszadła, ŚLIMAK",14,585.0,14,0,2024-06,2026-04,adapter,m14,150.0,adapter|m14,,WRO5,1.0,WRO5
"WERHE ® 13,5x34x162 Profesjonalny wbijak do gwoździ ziemnych Młot udarowy SDS Max",13,568.0,13,0,2024-08,2026-01,driver_rod,sds_max,34.0,driver_rod|d13.5|l34|sds_max,,WRO5,1.0,WRO5
"WERHE Świder glebowy do wiertarki 50 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",22,565.0,0,22,2024-12,2026-04,auger,,450.0,auger|d50|l450,,XPO1,1.0,XPO1
"Pobijak 13,5mm SDS Plus",6,530.0,6,0,2026-07,2026-08,driver_rod,sds_plus,150.0,driver_rod|d13.5|sds_plus,"6PO13,5p",WRO5,1.0,WRO5
WERHE®adapter M14 do świdrów ziemnych – adapter mieszający ze stali hartowanej,7,530.0,7,0,2026-02,2026-05,adapter,m14,150.0,adapter|m14,,WRO5,1.0,WRO5
"WERHE® 1 1/4"" UNC cal - przedłużenie do wiertła diamentowego Wiertło rdzeniowe 200 mm Wiertło rdzeniowe - uchwyt do piły walcowej lub wiertła skrzynkowego",22,528.0,22,0,2024-06,2026-05,other,unc_1_1_4,200.0,other|unc_1_1_4,,WRO5,1.0,WRO5
"WERHE Świder glebowy do wiertarki 100 mm Ø, 600 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",29,511.0,1,28,2024-12,2026-04,auger,,600.0,auger|d100|l600,,XPO1,0.966,XPO1
"Profesjonalna wiertarka WERHE®, świder do wiertarki 150 mm wytrzymały z adapterem SDS Plus - wiertło do wiercenia precyzyjna końcówka wiertła - wiertło do świdra do ziemi",16,506.0,0,16,2025-07,2026-05,auger,sds_plus,800.0,auger|d150|sds_plus,,XPO1,1.0,XPO1
WERHE Wiertło do ziemi z uchwytem SDS Max 120 mm Wytrzymała końcówka wiertła 120 mm,29,495.0,0,29,2024-07,2026-04,auger,sds_max,800.0,auger|d120|sds_max,,XPO1,1.0,XPO1
"WERHE Świder glebowy do wiertarki 80 mm Ø, 600 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",27,491.0,1,26,2024-12,2026-04,auger,,600.0,auger|d80|l600,,XPO1,0.963,XPO1
WERHE Professional 600 mm solidne przedłużenie słupka,20,488.0,0,20,2024-07,2026-05,other,,600.0,other,,XPO1,1.0,XPO1
WERHE Profesjonalny adapter do wierteł ziemnych – kompatybilny z SDS Plus – wytrzymały do ​​prac w ogrodzeniach i ogrodnictwie – szary,7,460.0,7,0,2026-02,2026-05,adapter,sds_plus,150.0,adapter|sds_plus,,WRO5,1.0,WRO5
WERHE Profesjonalny otwór odpowiedni do wiertarki sześciokątnej akumulatorowa wkrętarka combi adapter biegunowy do wiertarki,12,460.0,12,0,2024-06,2025-11,adapter,hex,150.0,adapter|hex,,WRO5,1.0,WRO5
WERHE Profesjonalne wiertło do ślimaków 40 mm Wiertło ślimakowe precyzyjne wiercenie,23,458.0,0,23,2024-07,2026-04,auger,,800.0,auger|d40,,XPO1,1.0,XPO1
WERHE Wiertło do Gleby 120D mm z adapterem SDS PLUS do profesjonalnego wiercenia w ziemi,18,458.0,0,18,2024-06,2026-04,auger,sds_plus,800.0,auger|sds_plus,,XPO1,1.0,XPO1
Nożyki T744D,3,450.0,3,0,2026-07,2026-08,blade_jigsaw,,150.0,blade_jigsaw|T744D,7NT744D,WRO5,1.0,WRO5
"WERHE Świder glebowy do wiertarki 40 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",17,441.0,1,16,2024-12,2026-04,auger,,450.0,auger|d40|l450,,XPO1,0.941,XPO1
WERHE Professional SDS hex 135 x 410 mm łodyga sześciokątna łopata dłutowa do młotka rozbiórkowego 30 mm w plastikowej obudowie,20,431.0,0,20,2024-06,2025-12,chisel_flat,hex30,410.0,chisel_flat|d135|l410|hex30,,XPO1,1.0,XPO1
WERHE Profesjonalne wiertło do ślimaków 80 mm wiertło ślimakowe dobre wiertło precyzyjne,26,430.0,0,26,2024-07,2026-04,auger,,800.0,auger|d80,,XPO1,1.0,XPO1
WERHE Profesjonalna wiertarka do uziemienia 60 mm bateria precyzyjna końcówka,25,430.0,0,25,2024-06,2026-04,auger,,800.0,auger|d60,,XPO1,1.0,XPO1
"WERHE® Gumowy młotek SDS Plus do młotowiertarki o średnicy ⌀ 36 mm - gumowy młotek idealny do obróbki blachy, kostki brukowej, pali",19,425.0,19,0,2024-06,2026-05,other,sds_plus,150.0,other|d36|sds_plus,,WRO5,1.0,WRO5
WERHE Profi wiertło do gleby Wiertarka do podwójnego wału 100 mm Wiertarka do studni z adapterem SDS Max,26,420.0,0,26,2024-07,2026-04,auger,sds_max,800.0,auger|d100|sds_max|dbl,,XPO1,1.0,XPO1
"WERHE ® Pobijak do kotew gruntowych SDS Plus, średnica wewnętrzna 13,5 mm – długość 100 mm, grubość 22 mm – wbijak do prętów uziomowych do wiertarek SDS Plus – solidny precyzyjny",3,420.0,3,0,2026-04,2026-04,driver_rod,sds_plus,100.0,driver_rod|d13.5|l100|sds_plus,,WRO5,1.0,WRO5
"Adapter WERHE® 1 1/4"" UNC na gniazdo R 1/2"". Wiertło koronowe do otwornicy do betonu, wiertło koronowe do wiertarki puszkowej.",21,418.0,21,0,2024-06,2025-11,adapter,unc_1_1_4,150.0,adapter|unc_1_1_4,,WRO5,1.0,WRO5
"WERHE ® 16,5x25x162 Profesjonalny sterownik kołkowy Jack Hammer Picket Driver Driver SDS Max",15,417.0,15,0,2024-07,2026-05,driver_pile,sds_max,25.0,driver_pile|d16.5|l25|sds_max,,WRO5,1.0,WRO5
WERHE Wiertło ziemne z uchwytem SDS Max 60 mm wytrzymałe wiertło wiertło 60 mm,21,402.0,0,21,2024-06,2026-05,auger,sds_max,800.0,auger|d60|sds_max,,XPO1,1.0,XPO1
WERHE Wiertarka z adapterem SDS Max 80 mm Wytrzymała wiertarka 80 mm,20,402.0,0,20,2024-10,2026-04,adapter,sds_max,800.0,adapter|sds_max,,XPO1,1.0,XPO1
WERHE® Smar MOS2 100ml w plastikowym pojemniku – środek smarny do końcówek narzędzi i łożysk kulkowych – wodoodporny smar uniwersalny,13,392.0,13,0,2025-04,2026-01,grease,,150.0,grease|d100,,WRO5,1.0,WRO5
"WERHE ® Profesjonalne - 2 x drewniane ostrza do wyrzynarki - C 250 mm T225B Slim Long - Gruba warstwa o dużej żywotności - kompatybilna z wyrzynarkami Bosch, Metabo, Milwaukee, Makita",8,390.0,8,0,2024-06,2025-10,other,,250.0,other,,WRO5,1.0,WRO5
"WERHE® Profesjonalny wkrętak do gwoździ 32,5 x 45 x 100 mm do wbijania prętów do gruntów głębinowych - Jack Hammer Picket Post Driver Driver SDS Plus",20,389.0,20,0,2024-06,2026-04,driver_rod,sds_plus,45.0,driver_rod|d32.5|l45|sds_plus,,WRO5,1.0,WRO5
WERHE Ślimak ziemny 100 mm z uchwytem SDS Plus Wytrzymała końcówka wiertła Wiertło palowe Wiertło dwuwałowe,27,387.0,0,27,2024-07,2026-04,auger,sds_plus,800.0,auger|d100|sds_plus,,XPO1,1.0,XPO1
"Adapter WERHE® 1 1/4"" UNC do tulei M16. Do wierteł rdzeniowych do otwornic do betonu, wiertła rdzeniowe do wierceń.",10,380.0,10,0,2024-06,2025-03,adapter,unc_1_1_4,150.0,adapter|unc_1_1_4,,WRO5,1.0,WRO5
WERHE® Professional SDS HEX Spade Sisel 75 x 410 mm – Dłuto płaskie do młotów wyburzeniowych – Wytrzymała stal narzędziowa,8,380.0,8,0,2026-02,2026-04,chisel_flat,hex30,410.0,chisel_flat|d75|l410|hex30,,WRO5,1.0,WRO5
Świder do Gleby 60D SDS PLUS,6,379.0,0,6,2026-07,2026-08,auger,sds_plus,800.0,auger|sds_plus,1ZWG60dp,XPO1,1.0,XPO1
"WERHE® Profesjonalny wkrętak do gwoździ 25,5 x 35,5 x 160 mm do wbijania prętów do gruntów głębinowych - Jack Hammer Picket Post Driver Driver SDS Max",19,372.0,19,0,2024-07,2026-04,driver_rod,sds_max,35.5,driver_rod|d25.5|l35.5|sds_max,,WRO5,1.0,WRO5
WERHE Wiertło wiertnicze 100 mm z wiertłem SDS Plus,12,368.0,0,12,2024-06,2025-07,other,sds_plus,800.0,other|sds_plus,,XPO1,1.0,XPO1
Profesjonalny adapter do wiertarki ziemnej pasujący do wiertarki SDS MAX wiertarki akumulatorowej młot udarowo-obrotowy wiertło do palu,22,365.0,22,0,2024-07,2026-04,adapter,sds_max,150.0,adapter|sds_max,,WRO5,1.0,WRO5
"WERHE Świder glebowy do wiertarki 80 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",18,362.0,18,0,2024-12,2026-04,auger,,450.0,auger|d80|l450,,WRO5,1.0,WRO5
WERHE ® Przedłużenie wiertła 500 mm SDS Max na SDS Max trzpień do adaptera,18,356.0,0,18,2024-09,2026-05,adapter,sds_max,500.0,adapter|sds_max,,XPO1,1.0,XPO1
WERHE Professional 200 mm drążek przedłużający wytrzymały,26,354.0,26,0,2024-08,2026-05,other,,200.0,other,,WRO5,1.0,WRO5
"WERHE Profesjonalny adapter do wiertnic ziemnych pasujący do wiertarki SDS MAX, wiertarki akumulatorowej, wiertarki udarowej, wiertarki palowej",10,350.0,10,0,2024-09,2025-10,adapter,sds_max,150.0,adapter|sds_max,,WRO5,1.0,WRO5
"WERHE® 32,5 x 45 x 160 mm profesjonalny wkrętak do gwoździ szlifowanych do wbijania prętów do głębokiego uziemienia, prętów uziemiających - Jack Hammer Picket Post Driver Driver SDS Max",20,348.0,20,0,2024-06,2026-05,driver_rod,sds_max,45.0,driver_rod|d32.5|l45|sds_max,,WRO5,1.0,WRO5
"WERHE® Przedłużka M14 - długość 120 mm - wałek przedłużający obrót do szlifierki kątowej - pręt przedłużający do mieszadła - talerze polerskie do gwintu M14, polerka samochodowa",18,340.0,18,0,2024-08,2026-03,extension,m14,120.0,extension|l120|m14,,WRO5,1.0,WRO5
Adapter do świdra SDS PLUS,7,340.0,7,0,2026-07,2026-08,adapter,sds_plus,150.0,adapter|sds_plus,4APlus,WRO5,1.0,WRO5
"WERHE® Profesjonalny wkrętak do gwoździ 25,5 x 35,5 x 100 mm do wbijania prętów do gruntów głębinowych - Jack Hammer Picket Post Driver Driver SDS Plus",20,330.0,20,0,2024-06,2026-04,driver_rod,sds_plus,35.5,driver_rod|d25.5|l35.5|sds_plus,,WRO5,1.0,WRO5
"WERHE Świder glebowy do wiertarki 60 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",15,327.0,0,15,2024-12,2026-04,auger,,450.0,auger|d60|l450,,XPO1,1.0,XPO1
WERHE ® Profesjonalny adapter ślimakowy do wiertarki Stihl BT 106°C BT 120°C BT 121 BT 130 BT 131 biegun,14,325.0,14,0,2024-08,2025-11,adapter,,150.0,adapter,,WRO5,1.0,WRO5
"WERHE Zestaw świdrów ziemnych Ø80 mm, długość 80 cm, z adapterem SDS Plus – Wytrzymała stal z metalowymi ostrzami do budowy ogrodzeń i prac ogrodniczych – Kompatybilny ze standardowymi wiertłami",5,320.0,0,5,2026-05,2026-05,adapter,sds_plus,800.0,adapter|d80|l800|sds_plus,,XPO1,1.0,XPO1
WERHE Przedłużacz do wierteł 1000 mm – adapter SDS Max do głębokich wierceń – wytrzymały i kompatybilny,10,320.0,0,10,2026-02,2026-03,extension,sds_max,1000.0,extension|l1000|sds_max,,XPO1,1.0,XPO1
WERHE profesjonalny adapter do świdrów odpowiedni do młotowiertarki SDS Max wiertarka do pali wiertarka akumulatorowa z szybką śrubą motylkową wykonany z wysokiej jakości stali sprężynowej,17,320.0,17,0,2024-06,2026-04,adapter,sds_max,150.0,adapter|sds_max,,WRO5,1.0,WRO5
WERHE Profesjonalne wiertło do Auger 120 mm podwójny wał wytrzymały akumulator z adapterem SDS Max,23,317.0,0,23,2024-06,2026-05,auger,sds_max,800.0,auger|d120|sds_max|dbl,,XPO1,1.0,XPO1
"WERHE® Adapter do wiertła diamentowego wiertła koronowego - 1 1/4"" cala UNC na M18 - dodatkowo z gwintem wewnętrznym 1/2"" cala",16,310.0,16,0,2024-07,2025-11,adapter,m18,150.0,adapter|m18|unc_1_1_4,,WRO5,1.0,WRO5
WERKON 5 x brzeszczot do wyrzynarki 180 mm trzpień T T744D bardzo długie brzeszczoty do wyrzynarki do drewna,11,310.0,11,0,2024-06,2025-11,blade_jigsaw,,180.0,blade_jigsaw|T744D|l180|n5,,WRO5,1.0,WRO5
WERHE® Uchwyt wiertarski SDS Plus z adapterem 1/2-20UNF - adapter SDS Plus do stosowania z wiertarką do betonu SDS Plus lub otwornicą do betonu,17,302.0,17,0,2024-06,2026-01,adapter,sds_plus,150.0,adapter|sds_plus|unf_1_2,,WRO5,1.0,WRO5
WERHE profesjonalne wiertło do ślimaka 150 mm pełna stal runo wiertło do wiertła wiertła wytrzymałe,24,301.0,0,24,2024-07,2026-05,auger,,800.0,auger|d150,,XPO1,1.0,XPO1
"WERHE brzeszczoty do wyrzynarki T744D, 180 mm, HCS, zestaw 5 szt.",2,300.0,2,0,2026-06,2026-06,blade_jigsaw,,180.0,blade_jigsaw|T744D|l180|n5,,WRO5,1.0,WRO5
"WERHE Profi Adapter do wiertła glebowego pasuje do wiertarki SDS Plus Wiertarka akumulatorowa, Wiertło do pali. Wraz ze bolcem wykonaną z wysokiej jakości stali sprężynowej",14,295.0,14,0,2024-06,2026-05,adapter,sds_plus,150.0,adapter|sds_plus,,WRO5,1.0,WRO5
WERHE® 85x105x234 Jack Hammer Star Picket Post Driver Bit dłuta do rozbiórki SDS Max hammer Breaker,22,281.0,22,0,2024-06,2026-03,driver_pile,sds_max,105.0,driver_pile|d85|l105|sds_max,,WRO5,1.0,WRO5
"WERHE® Przedłużka M14 - długość 250mm - przedłużka obrotowa do szlifierki kątowej - przedłużka do mieszadła - pady polerskie do gwintów M14, polerka samochodowa",17,279.0,17,0,2024-08,2026-03,extension,m14,250.0,extension|l250|m14,,WRO5,1.0,WRO5
WERHE Profesjonalne wiertło do wiertła do ziemi 100 mm Wiertarka kolumnowa,18,272.0,0,18,2024-08,2026-05,other,,800.0,other,,XPO1,1.0,XPO1
WERHE Erdbohrer 100 mm z SDS Plus rejestrującym solidne wiertła wiertnicze,16,269.0,0,16,2025-09,2026-05,auger,sds_plus,800.0,auger|d100|sds_plus,,XPO1,1.0,XPO1
"Profesjonalna wiertarka WERHE®, świder do wiertarki 150 mm wytrzymały z adapterem SDS Max - wiertło do wiercenia precyzyjna końcówka wiertła - świdra do ziemi",12,266.0,0,12,2025-07,2026-04,auger,sds_max,800.0,auger|d150|sds_max,,XPO1,1.0,XPO1
WERHE® 66 A 85x105x234 Jack młotek gwiazda picket post driver dłuto do rozbiórki jackhammer wyłącznik automatyczny,21,265.0,21,0,2024-06,2026-06,driver_pile,,105.0,driver_pile|d85|l105,,WRO5,1.0,WRO5
"Profesjonalna wiertarka WERHE®, świder do wiertarki 150 mm wytrzymały z adapterem SDS Max - wiertło do pali wiertło do wiercenia precyzyjna końcówka wiertła - wiertło do świdra do ziemi",22,264.0,0,22,2024-07,2025-06,auger,sds_max,800.0,auger|d150|sds_max,,XPO1,1.0,XPO1
Świder do Gleby 40D SDS PLUS,6,264.0,0,6,2026-07,2026-08,auger,sds_plus,800.0,auger|sds_plus,1ZWG40dp,XPO1,1.0,XPO1
Adapter do Świdra M14 gwint męski,5,260.0,5,0,2026-07,2026-08,adapter,m14,150.0,adapter|m14,4AM14,WRO5,1.0,WRO5
"WERHE pobijak do uziomów SDS Plus Ø 20,2 mm ze stali do prętów",2,260.0,2,0,2026-06,2026-06,driver_rod,sds_plus,150.0,driver_rod|d20.2|sds_plus,,WRO5,1.0,WRO5
"Pobijak 20,2mm SDS Max",7,255.0,7,0,2026-07,2026-08,driver_rod,sds_max,150.0,driver_rod|d20.2|sds_max,"6PO20,2m",WRO5,1.0,WRO5
WERHE uchwyt do ślimaka dobrze nawiercana konstrukcja 56 cm bardzo długi uchwyt,16,255.0,0,16,2024-10,2026-03,auger,,560.0,auger|l560,,XPO1,1.0,XPO1
WERHE profesjonalna wiertarka do ślimaka 150 mm pełna stal podwójny wałek runo dobrze wytrzymała z adapterem SDS Max,19,254.0,0,19,2024-07,2026-05,auger,sds_max,800.0,auger|d150|sds_max|dbl,,XPO1,1.0,XPO1
WERHE Profesjonalne wiertło SDS Plus do betonu 14 x 600 mm wiertło udarowe wiertło do kamienia wiertło do betonu,9,247.0,0,9,2024-08,2026-04,drill_bit,sds_plus,600.0,drill_bit|d14|l600|sds_plus,,XPO1,1.0,XPO1
WERHE ® Jack Hammer Compactor Anti Shock Hex Spline Rammer Tamping Shaft Plate Tamper Packer Beton Landscaper Builder Narzędzia do robót ziemnych do rozbiórki młota pneumatycznego,29,245.0,29,0,2024-06,2026-05,tamper,hex,150.0,tamper|hex,,WRO5,1.0,WRO5
WERHE Profi SDS Max Dłuto płaskie Dłuto szerokie Dłuto płaskie szerokie 75 x 600 mm Dłuto płaskie szerokie,19,245.0,0,19,2024-08,2025-06,chisel_flat,sds_max,600.0,chisel_flat|d75|l600|sds_max,,XPO1,1.0,XPO1
"WERHE ® Profesjonalne - 2 x drewniane dwustronne ostrza do wyrzynarki - C 116 mm T344CB - różne kształty szybkie ciasne cięcie czyste warstwy - dla ambitnych artystów, projektantów, inżynierów",11,242.0,11,0,2024-07,2026-01,other,,116.0,other,,WRO5,1.0,WRO5
WERHE Profi SDS Max Dłuto płaskie Dłuto szerokie Dłuto płaskie szerokie 75 x 600 mm,18,239.0,0,18,2025-07,2026-01,chisel_flat,sds_max,600.0,chisel_flat|d75|l600|sds_max,,XPO1,1.0,XPO1
WERHE świder ziemny z adapter SDS Plus 60 mm 80 cm do wiertarki i budowy,3,237.0,0,3,2026-06,2026-06,auger,sds_plus,800.0,auger|d60|l800|sds_plus,,XPO1,1.0,XPO1
WERHE ® 13.5x35x260mm Profesjonalny wzmocniony wbijak do gwoździ do gleby Młot pneumatyczny Wbijak do słupków SDS Max,21,235.0,21,0,2024-08,2026-04,driver_rod,sds_max,35.0,driver_rod|d13.5|l35|sds_max,,WRO5,1.0,WRO5
WERHE Adapter SDS MAX do M14I wewnętrzny,18,233.0,18,0,2024-07,2026-05,adapter,sds_max,150.0,adapter|sds_max,,WRO5,1.0,WRO5
WERHE Profesjonalne dłuto szpiczaste SDS z chwytem sześciokątnym do młota wyburzeniowego 30 x 410 mm ze stali nierdzewnej,21,226.0,0,21,2024-09,2026-05,chisel_flat,hex,410.0,chisel_flat|d30|l410|hex,,XPO1,1.0,XPO1
WERHE ® Professional – 2 x metalowe ostrza do wyrzynarki – C185 180 mm T718GF bardzo długie – szybkie cięcie ciężkiej pracy – dla ambitnych artystów,8,225.0,8,0,2024-06,2025-10,other,,180.0,other,,WRO5,1.0,WRO5
"WERHE Świder glebowy do wiertarki 100 mm Ø, 450 mm długości - Świder ogrodowy do wkrętarki akumulatorowej do sadzenia, kwiatów i kopania dołków - Narzędzie do kopania w ogrodzie",20,221.0,0,20,2024-12,2026-04,auger,,450.0,auger|d100|l450,,XPO1,1.0,XPO1
"WERHE® SDS Plus dłuto zestaw 600 mm, 3-częściowy dłuto spiczaste, 25, 50 mm, końcówka dłuto",25,220.0,0,25,2024-09,2026-01,set_chisel,sds_plus,600.0,set_chisel|sds_plus|n3,,XPO1,1.0,XPO1
"WERHE Profesjonalne brzeszczoty do wyrzynarki T744D zestaw 5 sztuk, 180 mm, bardzo długie ostrza do precyzyjnego cięcia drewna, kompatybilne z wyrzynarkami Bosch, METABO, MAKITA i chwytem T",1,220.0,1,0,2025-11,2025-11,blade_jigsaw,,180.0,blade_jigsaw|T744D|l180|n5,,WRO5,1.0,WRO5
Przedłużka do świdra 1000mm,8,218.0,0,8,2026-07,2026-08,extension,,1000.0,extension|l1000,5PR1000,XPO1,1.0,XPO1
"WERHE ® Profesjonalne - 5 x drewniane ostrza do wyrzynarki, C 152 mm, T544D, bardzo długie, szybkie cięcie, grube warstwy, kompatybilne z wyrzynarkami Bosch, Metabo, Milwaukee, Makita",7,215.0,7,0,2025-01,2025-10,other,,152.0,other,,WRO5,1.0,WRO5
